,simulation_1
2082-11-22,3.4554068724981404
2082-11-23,2.842635427277405
2082-11-24,9.097680480156352
2082-11-25,5.462358626975293
2082-11-26,3.17667401437156
2082-11-27,2.9209232500198707
2082-11-28,2.217510175395422
2082-11-29,3.067910232130945
2082-11-30,3.2219220898337317
2082-12-01,2.6948861799541577
2082-12-02,2.1517847054289767
2082-12-03,3.214652495007483
2082-12-04,2.2459140904966683
2082-12-05,1.9420653242922334
2082-12-06,2.331145523418465
2082-12-07,7.704082635660363
2082-12-08,6.45869159478607
2082-12-09,4.471441337951852
2082-12-10,2.825735135499595
2082-12-11,2.2183294746275743
2082-12-12,2.257397384131772
2082-12-13,2.016677360246429
2082-12-14,1.8128013403353902
2082-12-15,1.703633796610892
2082-12-16,1.6295382927011486
2082-12-17,1.5703237252137094
2082-12-18,1.5138784690207834
2082-12-19,1.9113249514817645
2082-12-20,4.77749192248169
2082-12-21,6.52917028446319
2082-12-22,5.535398127118646
2082-12-23,4.406967677619175
2082-12-24,2.722302256141419
2082-12-25,2.3941354151952723
2082-12-26,2.293585765590754
2082-12-27,7.694603898986776
2082-12-28,5.625120021214029
2082-12-29,5.516997274140616
2082-12-30,4.244228868951628
2082-12-31,4.337480543617726
2083-01-01,5.228777805937369
2083-01-02,5.7119475004573275
2083-01-03,4.909208377885427
2083-01-04,5.566456323509781
2083-01-05,5.813075257456706
2083-01-06,5.036096517636812
2083-01-07,4.663318728333557
2083-01-08,4.105109381996108
2083-01-09,3.9107227618182483
2083-01-10,6.100435011311519
2083-01-11,6.003744255888101
2083-01-12,5.531266714176201
2083-01-13,4.027519591190103
2083-01-14,3.8813297886385776
2083-01-15,3.3894778035332047
2083-01-16,4.074868438982052
2083-01-17,4.097118073634712
2083-01-18,5.152437232141754
2083-01-19,4.592198394899062
2083-01-20,4.0785988301227745
2083-01-21,3.7764454027046126
2083-01-22,3.597955998711825
2083-01-23,3.4160902892407186
2083-01-24,4.4428538845905265
2083-01-25,5.392820881546986
2083-01-26,4.08536313910054
2083-01-27,5.54368229710975
2083-01-28,6.541544243144715
2083-01-29,5.756254054767876
2083-01-30,6.779287473029449
2083-01-31,7.398713873617099
2083-02-01,9.137875395250429
2083-02-02,6.309295441749066
2083-02-03,5.75139981920303
2083-02-04,5.383805583022037
2083-02-05,4.903572789677999
2083-02-06,5.566414419098175
2083-02-07,5.050368400040675
2083-02-08,5.29420684302009
2083-02-09,5.945970389932707
2083-02-10,5.721892447561778
2083-02-11,4.8419268017727655
2083-02-12,4.731524111837619
2083-02-13,4.281822626389893
2083-02-14,3.5640611339630595
2083-02-15,4.067476688898702
2083-02-16,6.066924522106658
2083-02-17,6.478650016707234
2083-02-18,6.329273484331697
2083-02-19,4.621151887294784
2083-02-20,4.506915481960141
2083-02-21,4.358965216583208
2083-02-22,4.720385407552053
2083-02-23,10.272788036157513
2083-02-24,7.66354060934966
2083-02-25,5.615116666680775
2083-02-26,9.893028871615012
2083-02-27,7.624618404413517
2083-02-28,5.932360527300405
2083-03-01,5.30390352923512
2083-03-02,6.061598392434329
2083-03-03,6.591862823114738
2083-03-04,6.821845699629902
2083-03-05,6.685175753199572
2083-03-06,6.609261014657298
2083-03-07,7.563203774957784
2083-03-08,8.404753990654754
2083-03-09,8.267472660132281
2083-03-10,7.103507414323676
2083-03-11,6.742555609163311
2083-03-12,7.398514319824628
2083-03-13,8.262116124312076
2083-03-14,7.392185430804761
2083-03-15,7.725246647958087
2083-03-16,7.387358906315389
2083-03-17,6.776061178311345
2083-03-18,7.05958362820016
2083-03-19,7.466979984106066
2083-03-20,7.5314279308960295
2083-03-21,8.479780596148057
2083-03-22,8.04262523249917
2083-03-23,10.935668897924893
2083-03-24,8.63113162267099
2083-03-25,7.300925189663758
2083-03-26,6.76955557535989
2083-03-27,6.765128576043594
2083-03-28,7.087307093116264
2083-03-29,7.563234864842137
2083-03-30,9.102679586865825
2083-03-31,7.910510671975006
2083-04-01,7.694900362004907
2083-04-02,7.6739689969247085
2083-04-03,7.300472021584238
2083-04-04,6.867636116279474
2083-04-05,6.665408984438231
