DATE,Tmax,Tmin,prec,T,Discharge,ETP
2002-08-11,20.8,13.2,0.0,17.0,0.07893,3.0
2002-08-12,20.3,13.2,1.3,16.75,0.07333,2.9
2002-08-13,22.2,13.6,0.0,17.9,0.06806,3.102
2002-08-14,26.7,13.2,0.0,19.95,0.06604,3.5
2002-08-15,27.7,15.7,0.0,21.7,0.06141,3.702
2002-08-16,28.1,16.6,0.0,22.35,0.0597,3.702
2002-08-17,29.0,17.9,0.1,23.45,0.05723,3.902
2002-08-18,29.8,17.4,0.0,23.6,0.05665,3.902
2002-08-19,31.0,17.9,7.4,24.45,0.0561,3.902
2002-08-20,23.1,15.6,1.9,19.35,0.09811,3.102
2002-08-21,16.5,13.5,4.1,15.0,0.08664,2.5
2002-08-22,18.4,13.9,0.0,16.15,0.0835,2.602
2002-08-23,23.6,14.2,1.2,18.9,0.07273,2.9
2002-08-24,22.2,13.1,12.5,17.65,0.21069,2.802
2002-08-25,18.4,10.6,0.6,14.5,0.10836,2.398
2002-08-26,24.3,14.8,1.0,19.55,0.09213,3.102
2002-08-27,21.7,15.1,9.2,18.4,0.35965,2.9
2002-08-28,23.9,17.0,0.1,20.45,0.26026,3.102
2002-08-29,23.4,15.7,0.0,19.549999999999997,0.18041,2.9
2002-08-30,23.8,15.2,0.0,19.5,0.11664,3.0
2002-08-31,23.3,14.2,0.0,18.75,0.10193,2.802
2002-09-01,18.5,12.2,0.0,15.35,0.09272,2.298
2002-09-02,22.6,10.9,0.0,16.75,0.08467,2.5
2002-09-03,20.7,11.5,0.0,16.1,0.07748,2.398
2002-09-04,21.4,12.6,2.5,17.0,0.09283,2.298
2002-09-05,21.6,10.7,0.0,16.15,0.09439,2.2
2002-09-06,20.7,10.7,0.0,15.7,0.0823,2.2
2002-09-07,21.8,11.3,0.0,16.55,0.07596,2.2
2002-09-08,23.2,12.0,7.5,17.6,0.0733,2.3
2002-09-09,22.0,11.9,0.0,16.95,0.09352,2.3
2002-09-10,17.0,11.2,1.8,14.1,0.08523,1.8
2002-09-11,18.1,10.7,1.2,14.4,0.14857,1.9
2002-09-12,21.8,12.7,0.0,17.25,0.08478,2.3
2002-09-13,21.1,9.7,0.0,15.4,0.07418,2.0
2002-09-14,21.6,9.8,0.0,15.700000000000001,0.0677,1.9
2002-09-15,19.5,10.4,0.0,14.95,0.06692,1.9
2002-09-16,18.3,8.8,0.0,13.55,0.06355,1.7
2002-09-17,19.4,7.7,0.0,13.549999999999999,0.06216,1.7
2002-09-18,20.4,9.4,0.0,14.899999999999999,0.06076,1.8
2002-09-19,21.5,9.9,0.0,15.7,0.05968,1.9
2002-09-20,18.0,11.0,0.0,14.5,0.05802,1.8
2002-09-21,15.8,8.0,0.0,11.9,0.05868,1.502
2002-09-22,15.7,7.0,6.2,11.35,0.0655,1.302
2002-09-23,12.3,6.7,0.2,9.5,0.09043,1.302
