,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2000-06-11,2.4278468274334255,2.9443931536296133,2.658029937560433,2.685016830229947,2.80321365838795,2.6505619862287846,2.37884663828726,2.6546001204338903,2.7865109819478855,3.2728473824351942,2.8399443201225085,2.312405276819754,2.6307122021408142,2.381312633993425
2000-06-12,2.28131688724484,2.7011136017246558,2.4671680185483695,2.5025010184254803,2.6016857140388696,2.4592740385490135,2.219351141910842,2.447166894284905,2.54292865067203,3.0559898728201116,2.579825998714469,2.180782078813349,2.4455071970900297,2.264675812124046
2000-06-13,2.2385098139729482,2.540921306192039,2.3194746989437975,2.380818586496685,2.444112681645201,2.3143123471654556,2.1571644315964473,2.3254476683289123,2.3335131806461895,2.8719866254648228,2.448463951821056,2.0616360401074423,2.287825025042224,2.201982327651032
2000-06-14,2.3498933465344174,2.566998957867573,2.3343767865460054,2.338723633711668,2.4776254709837975,2.2780655674672197,2.2936158855113793,2.3159222679121,2.321363627100311,2.8163904947582625,2.4856366975907673,2.1026116578744096,2.2707814204412626,2.295065538965585
2000-06-15,2.0490718274105433,2.3768427571564765,2.1710880847862652,2.1994249056694932,2.3163902609903344,2.129334914027909,2.018956356899366,2.161307833096183,2.142993742248381,2.645842712105017,2.218419099836016,1.9033717309684237,2.132662711344686,2.0866444470560155
2000-06-16,2.2973210357575553,2.439990631952569,2.314810322935167,2.2343884990253207,2.4227070965772364,2.1661368766693636,2.3542661315863467,2.2557938140611444,2.204152246305653,2.6572514596772754,2.329394427842991,2.111746492757442,2.199172730754768,2.330652544261285
2000-06-17,2.719178914535137,2.777978656647972,2.786078564445713,2.443516635570673,2.8406715038848134,2.4196388982920123,2.9756766553525686,2.587473428898874,2.591879433476955,2.9073079867512748,2.7558206530825076,2.596900832155608,2.541886956006108,2.8036519835524856
2000-06-18,2.1285144997638916,2.5241041179412385,2.386806094083932,2.2825404730751147,2.5130111746289523,2.2474213498872637,2.116316669195286,2.375092492408305,2.375861551640303,2.7277864330492276,2.288282469482111,1.9888654050725365,2.356734541233771,2.149876087678351
2000-06-19,2.014420684039808,2.3255280327314223,2.1807512334804415,2.145939599684894,2.3099268310956687,2.0990517502444224,2.0044885937006702,2.2035028337929035,2.1900444847793206,2.566503620009726,2.028880343811048,1.8883538266020765,2.201326566517257,2.0549364951748816
2000-06-20,2.211564251912179,2.3504882099340465,2.250712492008985,2.157632207212838,2.348330966679514,2.1070751966674273,2.255678544212871,2.243244670110404,2.194738571784174,2.5504320547802792,2.1124702220543696,2.0309294207868547,2.2118456684664425,2.2371220616356826
2000-06-21,2.002598873438386,2.2397996877723942,2.1436425986752807,2.0820287505889885,2.2447201811114184,2.0199964799358954,2.0619519843667384,2.1559514824408392,2.095649898895733,2.4520531581110903,1.9488395028419192,1.8781878730193275,2.13019436639018,2.0805514439641972
2000-06-22,1.8573956023223672,2.09244623366571,1.9975609920138808,1.9790756717966789,2.1007044799352137,1.9011860527032352,1.899422670130319,2.0302464008743373,1.950869139119514,2.319948424228472,1.770719007232587,1.740062224871592,2.008533049000454,1.9469654650958712
2000-06-23,2.102631586793134,2.1946297368722325,2.184329397390081,2.0343107430464604,2.2522594288811693,1.9667147767671174,2.2610861454612667,2.1313409859330035,2.0617042540802952,2.3744411642477434,1.9317178575943939,2.0038472899442286,2.1100417113092576,2.215622803141714
2000-06-24,1.8055543390260422,2.043270695918306,1.9831817060890178,1.922202662643428,2.074610111919909,1.8506742775309677,1.8414762290187752,1.986039529055078,1.9181613975470388,2.2474215698970736,1.7104936814742326,1.6994684753083094,1.9850895653012854,1.8911343367195856
